id,title,year,rated,released,runtime,plot,language,country,awards,metascore,imdb_rating,imdb_votes,tomato_meter,tomato_rating,tomato_consensus,wiki_title,imdb_id,rt_title,created,updated
23,11:14,2003,R,"20 Aug 2004","86 min",,,"USA, Canada","1 win & 5 nominations.",65,7.2,"33,572",92,6.8,N/A,11:14,tt0331811,1114,"2014-05-11 19:37:12 2014 +0100","2014-05-14 23:41:06 +0100"
24,"127 Hours",2010,R,"28 Jan 2011","94 min",,,"USA, UK","Nominated for 6 Oscars. Another 15 wins & 83 nominations.",82,7.7,"211,082",93,8.3,"As gut-wrenching as it is inspirational, 127 Hours unites one of Danny Boyle's most beautifully exuberant directorial efforts with a terrific performance from James Franco.","127 Hours",tt1542344,127_hours,"2014-05-11 19:37:12 2014 +0100","2014-05-14 23:41:06 +0100"
25,"12:01 PM",1990,N/A,N/A,"25 min",,,USA,N/A,N/A,7.8,776,N/A,N/A,N/A,"12:01 PM (1990 film)",tt0098962,,"2014-05-11 19:37:12 2014 +0100","2014-05-14 23:41:06 +0100"
26,12,2007,PG-13,"20 Sep 2007","159 min",,,Russia,"Nominated for 1 Oscar. Another 4 wins & 4 nominations.",72,7.8,"9,794",78,6.8,"Loosely based on 1957's 12 Angry Men, Nikita Mikhalkov's superbly acted 12 is clever and gripping like its predecessor, but with a distinctly Russian feel.","12 (2007 film)",tt0488478,,"2014-05-11 19:37:12 2014 +0100","2014-05-14 23:41:07 +0100"
27,"12 Angry Men",1957,"Not Rated","01 Apr 1957","96 min",,,USA,"Nominated for 3 Oscars. Another 16 wins & 6 nominations.",N/A,8.9,"299,349",100,9.0,"Sidney Lumet's feature debut is a superbly written, dramatically effective courtroom thriller that rightfully stands as a modern classic.","12 Angry Men (1957 film)",tt0050083,1000013-12_angry_men,"2014-05-11 19:37:12 2014 +0100","2014-05-14 23:41:07 +0100"
28,"Twelve Monkeys",1995,R,"05 Jan 1996","129 min",,,USA,"Nominated for 2 Oscars. Another 10 wins & 8 nominations.",74,8.1,"345,838",67,N/A,N/A,"12 Monkeys",tt0114746,12_monkeys,"2014-05-11 19:37:12 2014 +0100","2014-05-14 23:41:07 +0100"
29,"12 Rounds",2009,PG-13,"27 Mar 2009","108 min",,,USA,N/A,38,5.6,"19,022",29,4.4,"Energetic but empty, 12 Rounds' preposterous plot hurtles along at a rapid pace, but can't disguise the derivative script.","12 Rounds (film)",tt1160368,12_rounds,"2014-05-11 19:37:12 2014 +0100","2014-05-14 23:41:07 +0100"
30,"12 Years a Slave",2013,R,"08 Nov 2013","134 min",,,"USA, UK","Won 3 Oscars. Another 139 wins & 135 nominations.",97,8.2,"196,246",N/A,N/A,N/A,"12 Years A Slave (film)",tt2024544,12_years_a_slave,"2014-05-11 19:37:12 2014 +0100","2014-05-14 23:41:08 +0100"
31,"12 Years a Slave",2013,R,"08 Nov 2013","134 min",,,"USA, UK","Won 3 Oscars. Another 139 wins & 135 nominations.",97,8.2,"196,246",N/A,N/A,N/A,"12 Years a Slave (film)",tt2024544,12_years_a_slave,"2014-05-11 19:37:12 2014 +0100","2014-05-14 23:41:08 +0100"
32,"12 and Holding",2005,R,"07 Jul 2006","94 min",,,USA,"4 nominations.",65,7.6,"5,610",73,6.7,"This shocking pre-teen drama manages, through realistic performances and a sense of empathy, to avoid exploitation and instead deliver something honest and haunting.","12 and Holding",tt0417385,,"2014-05-11 19:37:12 2014 +0100","2014-05-14 23:41:08 +0100"
33,13,2010,R,N/A,"91 min",,,USA,"1 win.",29,6.1,"28,647",8,3.8,N/A,"13 (film)",tt0798817,13-2010,"2014-05-11 19:37:12 2014 +0100","2014-05-14 23:41:09 +0100"
34,"13 Assassins",2010,R,"25 Sep 2010","141 min",,,"Japan, UK","13 wins & 22 nominations.",87,7.6,"40,543",96,8.0,"Takashi Miike's electric remake of Eiichi Kudo's 1963 period action film is a wild spectacle executed with killer, dizzying panache.","13 Assassins",tt1436045,13_assassins_2011,"2014-05-11 19:37:12 2014 +0100","2014-05-14 23:41:09 +0100"
35,"13: Game of Death",2006,R,"05 Oct 2006","114 min",,,Thailand,"5 wins & 9 nominations.",N/A,6.8,"3,716",62,N/A,N/A,"13 Beloved",tt0883995,13-game-sayawng-13-game-of-death-13-beloved,"2014-05-11 19:37:12 2014 +0100","2014-05-14 23:41:09 +0100"
