id,title,year,rated,released,runtime,plot,language,country,awards,metascore,imdb_rating,imdb_votes,tomato_meter,tomato_rating,tomato_consensus,wiki_title,imdb_id,rt_title,created,updated
2034,"Birdman of Alcatraz",1962,N/A,"03 Jul 1962","147 min",,,USA,"Nominated for 4 Oscars. Another 7 wins & 5 nominations.",N/A,7.8,"9,928",82,7.0,N/A,"Birdman of Alcatraz (film)",tt0055798,birdman_of_alcatraz,"2014-05-11 19:37:12 2014 +0100","2014-05-15 00:59:04 +0100"
2035,Birdy,1984,R,"21 Dec 1984","120 min",,,USA,"3 wins & 1 nomination.",N/A,7.3,"14,818",88,7.4,N/A,"Birdy (film)",tt0086969,birdy,"2014-05-11 19:37:12 2014 +0100","2014-05-15 00:59:06 +0100"
2036,Birth,2004,R,"05 Nov 2004","100 min",,,"USA, UK, Germany","Nominated for 1 Golden Globe. Another 2 wins & 9 nominations.",50,6.0,"25,123",39,5.2,"A well-mounted production is undermined by a muddled, absurd storyline of questionable taste.","Birth (film)",tt0337876,birth,"2014-05-11 19:37:12 2014 +0100","2014-05-15 00:59:08 +0100"
2037,"Birthday Girl",2001,R,"01 Feb 2002","93 min",,,"UK, USA","1 win.",51,6.1,"19,272",58,5.7,"Kidman shows her range in this quirky movie, but the shift in tone from romantic comedy to thriller may leave viewers unsatisfied.","Birthday Girl",tt0188453,birthday_girl,"2014-05-11 19:37:12 2014 +0100","2014-05-15 00:59:10 +0100"
2038,"Mei shao nian zhi lian",1998,N/A,"08 Mar 2001","111 min",,,"Hong Kong","1 win.",N/A,6.9,574,75,N/A,N/A,"Bishonen (film)",tt0168496,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 00:59:13 +0100"
2039,"Bitch Slap",2009,R,"06 Nov 2009","109 min",,,USA,N/A,19,4.5,"10,307",31,4.5,N/A,"Bitch Slap",tt1212974,10010153-bitch_slap,"2014-05-11 19:37:12 2014 +0100","2014-05-15 00:59:15 +0100"
2040,"Bite the Bullet",1975,PG,"26 Sep 1975","132 min",,,USA,"Nominated for 2 Oscars. Another 1 win.",N/A,6.8,"2,944",71,6.6,N/A,"Bite the Bullet (film)",tt0072705,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 00:59:17 +0100"
2041,"Bitter Jester",2003,N/A,"26 Feb 2003",N/A,,,USA,N/A,N/A,7.1,59,N/A,N/A,N/A,"Bitter Jester",tt0353244,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 00:59:17 +0100"
2042,"Bitter Moon",1992,R,"11 Mar 1994","139 min",,,"France, UK, USA","1 nomination.",N/A,7.1,"20,137",63,6.0,N/A,"Bitter Moon",tt0104779,bitter_moon,"2014-05-11 19:37:12 2014 +0100","2014-05-15 00:59:19 +0100"
2043,"Bitter Rice",1949,N/A,"18 Sep 1950","108 min",,,Italy,N/A,N/A,7.7,"1,705",N/A,N/A,N/A,"Bitter Rice",tt0040737,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 00:59:21 +0100"
2044,"Bitters and Blue Ruin",2002,N/A,"08 Jul 2002","140 min",,,USA,N/A,N/A,8.2,5,N/A,N/A,N/A,"Bitters and Blue Ruin",tt0391806,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 00:59:25 +0100"
2045,Biutiful,2010,R,"22 Oct 2010","148 min",,,"Mexico, Spain","Nominated for 2 Oscars. Another 16 wins & 33 nominations.",58,7.5,"51,325",65,6.4,"Javier Bardem's searing performance helps to elevate Biutiful, as does Alejandro Gonz?lez I??rritu's craftsmanship, but the film often lapses into contrivance and grimness.","Biutiful (film)",tt1164999,biutiful,"2014-05-11 19:37:12 2014 +0100","2014-05-15 00:59:28 +0100"
2046,"Biwi No. 1",1999,N/A,"28 May 1999","159 min",,,India,"5 wins & 2 nominations.",N/A,5.4,"1,866",54,N/A,N/A,"Biwi No.1",tt0207341,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 00:59:32 +0100"
2047,"Drole de Drame",1937,N/A,"20 Mar 1939","84 min",,,France,N/A,N/A,7.6,"1,119",78,6.6,N/A,"Bizarre, Bizarre",tt0027552,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 00:59:32 +0100"
2048,Black,2004,N/A,"10 Nov 2004",N/A,,,India,N/A,N/A,6.2,191,N/A,N/A,N/A,"Black (2004 film)",tt0429683,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 00:59:35 +0100"
2049,Black,2005,N/A,"04 Feb 2005","122 min",,,India,"28 wins & 3 nominations.",N/A,8.2,"16,843",67,7.5,N/A,"Black (2005 film)",tt0375611,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 00:59:37 +0100"
2050,Black,2009,R,"15 Jul 2009","115 min",,,France,"1 win.",N/A,5.4,272,N/A,N/A,N/A,"Black (2008 film)",tt0990359,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 00:59:39 +0100"
2051,"Black Angel",1946,Approved,"02 Aug 1946","81 min",,,USA,N/A,N/A,7.1,"1,291",N/A,N/A,N/A,"Black Angel (1946 film)",tt0038360,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 00:59:43 +0100"
2052,"Black Beauty",1994,G,"29 Jul 1994","88 min",,,"USA, UK","1 win & 1 nomination.",N/A,6.6,"5,555",32,N/A,N/A,"Black Beauty (1994 film)",tt0109279,1052529-black_beauty,"2014-05-11 19:37:12 2014 +0100","2014-05-15 00:59:47 +0100"
2053,"Black Belly of the Tarantula",1971,R,"12 Aug 1971","89 min",,,"Italy, France",N/A,N/A,6.5,"1,293",N/A,N/A,N/A,"Black Belly of the Tarantula",tt0069343,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 00:59:49 +0100"
2054,"Black Belt Jones",1974,R,"29 Mar 1974","85 min",,,USA,N/A,N/A,6.4,"1,324",29,N/A,N/A,"Black Belt Jones",tt0071221,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 00:59:52 +0100"
2055,"Black Book",2006,R,"14 Sep 2006","145 min",,,"Netherlands, Germany, UK, Belgium","Nominated for 1 BAFTA Film Award. Another 14 wins & 17 nominations.",71,7.9,"51,445",76,7.1,"A furious mix of sex, violence, and moral relativism, Black Book is shamelessly entertaining melodrama.","Black Book (film)",tt0389557,10007417-black_book,"2014-05-11 19:37:12 2014 +0100","2014-05-15 00:59:54 +0100"
2056,"Black Caesar",1973,R,"07 Feb 1973","87 min",,,USA,N/A,N/A,6.4,"1,758",55,5.7,N/A,"Black Caesar (film)",tt0069792,black_caesar,"2014-05-11 19:37:12 2014 +0100","2014-05-15 00:59:56 +0100"
2057,"Black Cat, White Cat",1998,R,"01 Jun 1998","127 min",,,"Federal Republic of Yugoslavia, France, Germany, Austria, Greece, USA","5 wins & 4 nominations.",73,8.2,"31,898",85,7.1,"Rambling and eccentric, Emir Kusturica's comedy captures the life and energy of the Gypsy family at the heart of the tale.","Black Cat, White Cat",tt0118843,black_cat_white_cat,"2014-05-11 19:37:12 2014 +0100","2014-05-15 00:59:57 +0100"
2058,"Black Cat",2007,N/A,"24 Aug 2007",N/A,,,India,N/A,N/A,4.3,35,N/A,N/A,N/A,"Black Cat (2007 film)",tt0997142,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 01:00:01 +0100"
2059,"Black Chicks Talking",2004,N/A,"02 May 2004","52 min",,,Australia,"2 wins & 1 nomination.",N/A,7.9,17,N/A,N/A,N/A,"Black Chicks Talking",tt0297793,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 01:00:04 +0100"
2060,"Black Christmas",1974,R,"20 Dec 1974","98 min",,,Canada,"2 wins & 2 nominations.",N/A,7.2,"17,527",63,6.1,N/A,"Black Christmas (1974 film)",tt0071222,1002484-black_christmas,"2014-05-11 19:37:12 2014 +0100","2014-05-15 01:00:06 +0100"
2061,"Black Christmas",2006,R,"25 Dec 2006","84 min",,,"USA, Canada",N/A,22,4.5,"17,091",50,N/A,N/A,"Black Christmas (2006 film)",tt0454082,black_christmas,"2014-05-11 19:37:12 2014 +0100","2014-05-15 01:00:09 +0100"
2062,"Black Cloud",2004,PG-13,"30 Apr 2004","97 min",,,USA,"6 wins.",N/A,5.9,397,29,5.3,N/A,"Black Cloud",tt0363475,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 01:00:11 +0100"
2063,"Black Dhaliya",2009,N/A,"30 Apr 2009","139 min",,,India,N/A,N/A,3.5,30,N/A,N/A,N/A,"Black Dalia",tt1606181,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 01:00:15 +0100"
2064,"Black Dawn",2005,R,"27 Dec 2005","96 min",,,USA,N/A,N/A,3.9,"2,683",N/A,N/A,N/A,"Black Dawn (film)",tt0443450,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 01:00:18 +0100"
2065,"Black Death",2010,R,"11 Jun 2010","102 min",,,"Germany, UK","4 wins & 6 nominations.",71,6.4,"28,024",67,6.2,"Black Death delivers the fire and brimstone violence its subject matter warrants, while posing some interesting questions of faith and religion.","Black Death (film)",tt1181791,black_death-2010,"2014-05-11 19:37:12 2014 +0100","2014-05-15 01:00:19 +0100"
2066,"Black Dog",1998,PG-13,"01 May 1998","89 min",,,"USA, UK, France, Germany, Japan",N/A,N/A,5.2,"5,602",11,3.0,N/A,"Black Dog (film)",tt0120610,black_dog,"2014-05-11 19:37:12 2014 +0100","2014-05-15 01:00:21 +0100"
2067,"Black Dynamite",2009,R,"13 Jan 2010","84 min",,,USA,"2 wins & 3 nominations.",65,7.4,"29,186",85,7.2,"A loving and meticulous send-up of 1970s blaxsploitation movies, Black Dynamite is funny enough for the frat house and clever enough for film buffs.","Black Dynamite",tt1190536,black_dynamite,"2014-05-11 19:37:12 2014 +0100","2014-05-15 01:00:24 +0100"
2068,"Black Eagle",1988,R,"01 May 1988","93 min",,,USA,N/A,N/A,3.5,"4,170",N/A,N/A,N/A,"Black Eagle (film)",tt0094750,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 01:00:28 +0100"
2069,"Black Emanuelle",1975,X,"01 Oct 1976","91 min",,,"Spain, Italy",N/A,N/A,4.7,719,N/A,N/A,N/A,"Black Emanuelle",tt0072930,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 01:00:32 +0100"
2070,"Black Friday",1940,Approved,"12 Apr 1940","70 min",,,USA,"1 win.",N/A,6.3,905,N/A,N/A,N/A,"Black Friday (1940 film)",tt0032258,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 01:00:35 +0100"
2071,"Black Friday",2004,N/A,"09 Feb 2007","143 min",,,India,"2 nominations.",76,8.5,"4,896",86,7.1,N/A,"Black Friday (2004 film)",tt0400234,10008022-black_friday,"2014-05-11 19:37:12 2014 +0100","2014-05-15 01:00:37 +0100"
2072,"Black God, White Devil",1964,N/A,"10 Jul 1964","120 min",,,Brazil,"1 nomination.",N/A,7.4,"2,005",100,8.3,N/A,"Black God, White Devil",tt0058006,black_god_white_devil,"2014-05-11 19:37:12 2014 +0100","2014-05-15 01:00:40 +0100"
2073,"Black Hawk Down",2001,R,"18 Jan 2002","144 min",,,"USA, UK","Won 2 Oscars. Another 8 wins & 28 nominations.",74,7.7,"228,195",76,6.9,"Though it's light on character development and cultural empathy, Black Hawk Down is a visceral, pulse-pounding portrait of war, elevated by Ridley Scott's superb technical skill.","Black Hawk Down (film)",tt0265086,black_hawk_down,"2014-05-11 19:37:12 2014 +0100","2014-05-15 01:00:42 +0100"
2074,"Black House",2007,N/A,"21 Jun 2007","104 min",,,"South Korea",N/A,N/A,6.5,562,48,N/A,N/A,"Black House (film)",tt1193490,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 01:00:46 +0100"
2075,"Black Knight",2001,PG-13,"21 Nov 2001","95 min",,,USA,"2 nominations.",32,4.6,"24,725",14,3.4,"Black Knight feels like a lazily constructed movie, filled with lame gags and constant mugging from Lawrence.","Black Knight (film)",tt0265087,black_knight,"2014-05-11 19:37:12 2014 +0100","2014-05-15 01:00:48 +0100"
2076,"Black Legion",1937,Approved,"30 Jan 1937","83 min",,,USA,"Nominated for 1 Oscar. Another 1 win.",N/A,7.0,"1,469",N/A,N/A,N/A,"Black Legion (film)",tt0027367,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 01:00:50 +0100"
2077,"Black Like Me",1964,N/A,"20 May 1964","105 min",,,USA,N/A,N/A,6.7,358,81,N/A,N/A,"Black Like Me (film)",tt0057889,black_like_me,"2014-05-11 19:37:12 2014 +0100","2014-05-15 01:00:54 +0100"
2078,"Black Mail",1973,N/A,N/A,"145 min",,,India,N/A,N/A,6.8,104,N/A,N/A,N/A,"Black Mail (1973 film)",tt0154706,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 01:00:58 +0100"
2079,"Black Mama, White Mama",1973,R,"19 Jan 1973","87 min",,,"USA, Philippines",N/A,N/A,5.6,"1,406",N/A,N/A,N/A,"Black Mama, White Mama",tt0068282,black_mama_white_mama,"2014-05-11 19:37:12 2014 +0100","2014-05-15 01:01:00 +0100"
2080,"Black Mask",1996,R,"14 May 1999","90 min",,,"Hong Kong","3 nominations.",N/A,6.0,"7,802",48,4.9,"Stylish setting and masterfully choreographed fight scenes, but the story is low on credibility and high on excessive violence and gore.","Black Mask (film)",tt0115693,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 01:01:03 +0100"
2081,"Black Mask 2: City of Masks",2002,R,"09 Jan 2003","102 min",,,"Hong Kong, USA",N/A,N/A,3.6,"1,330",N/A,N/A,N/A,"Black Mask 2: City of Masks",tt0264429,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 01:01:06 +0100"
2082,"Black Moon",1934,Approved,"15 Jun 1934","68 min",,,USA,N/A,N/A,6.2,247,27,N/A,N/A,"Black Moon (1934 film)",tt0024895,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 01:01:12 +0100"
2083,"Black Moon",1975,R,"24 Sep 1975","95 min",,,"France, West Germany","2 wins.",N/A,6.4,"2,439",44,5.4,N/A,"Black Moon (1975 film)",tt0072709,10008411-black_moon,"2014-05-11 19:37:12 2014 +0100","2014-05-15 01:01:14 +0100"
2084,"Black Moon Rising",1986,R,"10 Jan 1986","100 min",,,USA,"1 nomination.",N/A,5.4,"2,958",33,3.9,N/A,"Black Moon Rising",tt0090735,black_moon_rising,"2014-05-11 19:37:12 2014 +0100","2014-05-15 01:01:16 +0100"
2085,"Black Narcissus",1947,"Not Rated","01 Dec 1947","100 min",,,UK,"Won 2 Oscars. Another 3 wins.",N/A,8.0,"12,845",100,8.8,N/A,"Black Narcissus",tt0039192,black_narcissus,"2014-05-11 19:37:12 2014 +0100","2014-05-15 01:01:19 +0100"
2086,"Black Orpheus",1959,PG,"21 Dec 1959","100 min",,,"Brazil, France, Italy","Won 1 Oscar. Another 3 wins & 1 nomination.",81,7.5,"5,880",91,7.7,"Colorful, atmospheric, and infections, Black Orpheus takes an ancient tale and makes it fresh anew, thanks in part to its bewitching bossa nova soundtrack.","Black Orpheus",tt0053146,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 01:01:23 +0100"
2087,"Black Rain",1989,R,"22 Sep 1989","125 min",,,USA,"Nominated for 2 Oscars. Another 1 nomination.",N/A,6.6,"32,805",52,5.3,N/A,"Black Rain (American film)",tt0096933,1002512-black_rain,"2014-05-11 19:37:12 2014 +0100","2014-05-15 01:01:26 +0100"
2088,"The Black Republic",1990,N/A,"10 Nov 1990","100 min",,,"South Korea","2 wins.",N/A,7.2,69,67,N/A,N/A,"Black Republic",tt0102192,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 01:01:29 +0100"
2089,"Black Robe",1991,R,"04 Oct 1991","101 min",,,"Canada, Australia, USA","10 wins & 13 nominations.",N/A,7.1,"4,699",92,7.0,N/A,"Black Robe (film)",tt0101465,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 01:01:32 +0100"
2090,"Black Rock",2012,R,"17 May 2013","83 min",,,USA,N/A,46,4.7,"3,933",48,5.2,"It springs from smarter ideas than your average chase thriller, but ultimately, Black Rock falls back on disappointingly familiar ingredients.","Black Rock (2012 film)",tt1930294,black_rock_2011,"2014-05-11 19:37:12 2014 +0100","2014-05-15 01:01:34 +0100"
2091,"Black Sabbath",1963,Unrated,"06 May 1964","92 min",,,"Italy, UK, France",N/A,N/A,7.3,"5,051",86,6.7,N/A,"Black Sabbath (film)",tt0057603,black_sabbath,"2014-05-11 19:37:12 2014 +0100","2014-05-15 01:01:37 +0100"
2092,"Black Sheep",1996,PG-13,"02 Feb 1996","87 min",,,USA,N/A,N/A,6.1,"24,605",28,3.6,N/A,"Black Sheep (1996 film)",tt0115697,1069419-black_sheep,"2014-05-11 19:37:12 2014 +0100","2014-05-15 01:01:40 +0100"
2093,,,,,,,,,,,,,,,,"Black Sheep (2006 film)",tt779982,black_sheep,"2014-05-11 19:37:12 2014 +0100","2014-05-15 01:01:42 +0100"
2094,"Black Snake Moan",2006,R,"02 Mar 2007","116 min",,,USA,"1 win & 1 nomination.",52,7.1,"46,047",66,6.4,"Uninhibited performances, skillful direction, and a killer blues soundtrack elevate Black Snake Moan beyond its outlandish premise.","Black Snake Moan (film)",tt0462200,black_snake_moan,"2014-05-11 19:37:12 2014 +0100","2014-05-15 01:01:43 +0100"
2095,"Black Stallion (film)",,,,,,,,,,,,,,,"Black Stallion (film)",,,"2014-05-11 19:37:12 2014 +0100",
2096,"Black Sunday",1960,Unrated,"15 Feb 1961","87 min",,,Italy,N/A,N/A,7.4,"7,108",84,7.5,N/A,"Black Sunday (1960 film)",tt0054067,1055755-black_sunday/,"2014-05-11 19:37:12 2014 +0100","2014-05-15 01:01:45 +0100"
2097,"Black Sunday",1977,R,"11 Mar 1977","143 min",,,USA,"1 nomination.",N/A,6.8,"4,250",100,7.4,N/A,"Black Sunday (1977 film)",tt0075765,1002526,"2014-05-11 19:37:12 2014 +0100","2014-05-15 01:01:47 +0100"
2098,"Black Swan",2010,R,"17 Dec 2010","108 min",,,USA,"Won 1 Oscar. Another 57 wins & 125 nominations.",79,8.0,"419,669",87,8.2,"Bracingly intense, passionate, and wildly melodramatic, Black Swan glides on Darren Aronofsky's bold direction -- and a bravura performance from Natalie Portman.","Black Swan (film)",tt0947798,black_swan_2010,"2014-05-11 19:37:12 2014 +0100","2014-05-15 01:01:49 +0100"
2099,"Zwarte zwanen",2005,N/A,"14 Jul 2005","95 min",,,Netherlands,"1 win & 4 nominations.",N/A,6.2,157,64,N/A,N/A,"Black Swans (film)",tt0350374,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 01:01:52 +0100"
2100,"Black Tuesday",1954,N/A,"06 May 1955","80 min",,,USA,N/A,N/A,6.8,158,43,N/A,N/A,"Black Tuesday (1954 film)",tt0046790,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 01:01:56 +0100"
2101,"Black Water",2007,R,"24 Apr 2008","90 min",,,Australia,"3 wins & 7 nominations.",N/A,6.0,"7,523",79,5.9,N/A,"Black Water (film)",tt0816436,10009176-black_water,"2014-05-11 19:37:12 2014 +0100","2014-05-15 01:01:58 +0100"
2102,"Black Widow",1987,R,"06 Feb 1987","102 min",,,USA,N/A,N/A,6.3,"5,443",50,5.3,N/A,"Black Widow (1987 film)",tt0090738,1002531-black_widow,"2014-05-11 19:37:12 2014 +0100","2014-05-15 01:02:01 +0100"
2103,"Black and White",1999,R,"05 Apr 2000","98 min",,,USA,N/A,47,5.0,"4,627",25,4.3,N/A,"Black and White (1999 film)",tt0165643,black-and-white1999,"2014-05-11 19:37:12 2014 +0100","2014-05-15 01:02:01 +0100"
2104,"Black and White",2002,N/A,"31 Oct 2002","99 min",,,"Australia, UK","1 win & 2 nominations.",N/A,6.7,572,39,4.8,"The atmosphere is affecting, and the story, at times, is compelling, but with a lean script and limp direction, Black and White doesn't add up to much.","Black and White (2002 film)",tt0299547,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 01:02:03 +0100"
2105,Blackball,2003,R,"05 Sep 2003","96 min",,,UK,N/A,N/A,5.5,"3,167",38,4.8,N/A,"Blackball (film)",tt0337879,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 01:02:04 +0100"
2106,"Blackballed: The Bobby Dukes Story",2004,N/A,N/A,"91 min",,,USA,"5 wins.",54,6.5,"1,034",53,5.4,N/A,"Blackballed (film)",tt0379184,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 01:02:06 +0100"
2107,"Blackbeard's Ghost",1968,Approved,"08 Feb 1968","106 min",,,USA,N/A,N/A,6.7,"3,027",80,5.6,N/A,"Blackbeard's Ghost",tt0062737,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 01:02:08 +0100"
2108,"Kawao tee Bangpleng",1995,N/A,"09 Sep 1995","120 min",,,Thailand,N/A,N/A,5.0,31,N/A,N/A,N/A,"Blackbirds at Bangpleng",tt0110247,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 01:02:10 +0100"
2109,"Blackboard Jungle",1955,Approved,"25 Mar 1955","101 min",,,USA,"Nominated for 4 Oscars. Another 2 nominations.",N/A,7.5,"5,422",76,7.1,N/A,"Blackboard Jungle",tt0047885,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 01:02:12 +0100"
2110,"Black Waters",1929,N/A,"06 Apr 1929","84 min",,,USA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Blackmail (1929 film)",tt0019700,1002540-blackmail,"2014-05-11 19:37:12 2014 +0100","2014-05-15 01:02:14 +0100"
2111,Blackmail,1939,N/A,"08 Sep 1939","81 min",,,USA,N/A,N/A,6.7,228,N/A,N/A,N/A,"Blackmail (1939 film)",tt0031102,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 01:02:17 +0100"
2112,,,,,,,,,,,,,,,,"Blackmail (1947 film)",tt003919,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 01:02:20 +0100"
2113,Blackmail,2005,N/A,"28 Jan 2005",N/A,,,India,N/A,N/A,4.3,347,N/A,N/A,N/A,"Blackmail (2005 film)",tt0444769,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 01:02:21 +0100"
2114,Blackmailed,1951,N/A,"31 Aug 1951","85 min",,,UK,N/A,N/A,7.3,15,N/A,N/A,N/A,"Blackmailed (1951 film)",tt0042257,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 01:02:22 +0100"
2115,"Blacksmith Scene",1893,Unrated,"09 May 1893","1 min",,,USA,"1 win.",N/A,6.3,"1,014",39,N/A,N/A,"Blacksmith Scene",tt0000005,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 01:02:27 +0100"
2116,Blacula,1972,PG,"25 Aug 1972","93 min",,,USA,"1 win.",N/A,5.5,"2,894",45,5.1,N/A,Blacula,tt0068284,blacula,"2014-05-11 19:37:12 2014 +0100","2014-05-15 01:02:28 +0100"
2117,"Blade: Trinity",2004,R,"08 Dec 2004","113 min",,,USA,"1 nomination.",38,5.9,"101,035",26,4.4,"The latest Blade flick is getting a little long in the tooth; critics call it bloodless, dull, rusty, and an assortment of other puns.","Blade: Trinity",tt0359013,blade_trinity,"2014-05-11 19:37:12 2014 +0100","2014-05-15 01:02:30 +0100"
2118,Blade,1998,R,"21 Aug 1998","120 min",,,USA,"4 wins & 7 nominations.",45,7.1,"146,487",55,5.7,"Though some may find the plot a bit lacking, Blade's action is fierce, plentiful, and appropriately stylish for a comic book adaptation.","Blade (film)",tt0120611,1083484-blade,"2014-05-11 19:37:12 2014 +0100","2014-05-15 01:02:32 +0100"
2119,"Blade II",2002,R,"22 Mar 2002","117 min",,,"USA, Germany","7 wins & 7 nominations.",52,6.7,"121,136",59,6.0,"Blade 2 takes what works in the original and gives us more. Unfortunately, plot and character development appear to have been left on the cutting room floor.","Blade II",tt0187738,blade_2_bloodhunt,"2014-05-11 19:37:12 2014 +0100","2014-05-15 01:02:33 +0100"
2120,"Blade Runner",1982,R,"25 Jun 1982","117 min",,,"USA, Hong Kong, UK","Nominated for 2 Oscars. Another 10 wins & 15 nominations.",88,8.3,"353,676",91,8.4,"Misunderstood when it first hit theaters, the influence of Ridley Scott's mysterious, neo-noir Blade Runner has deepened with time. A visually remarkable, achingly human sci-fi masterpiece.","Blade Runner",tt0083658,Blade_Runner,"2014-05-11 19:37:12 2014 +0100","2014-05-15 01:02:34 +0100"
2121,"Blades of Glory",2007,PG-13,"30 Mar 2007","93 min",,,USA,"3 wins & 10 nominations.",64,6.4,"100,381",69,6.2,"Thanks to the spirited performances of a talented cast - particularly Will Ferrell and Jon Heder as rivals-turned-teammates -- Blades of Glory successfully spoofs inspirational sports dramas with inspired abandon.","Blades of Glory",tt0445934,blades_of_glory,"2014-05-11 19:37:12 2014 +0100","2014-05-15 01:02:35 +0100"
2122,"Blame It on Rio",1984,R,"17 Feb 1984","100 min",,,USA,"1 nomination.",N/A,5.6,"6,923",9,2.9,N/A,"Blame It on Rio",tt0086973,blame_it_on_rio,"2014-05-11 19:37:12 2014 +0100","2014-05-15 01:02:38 +0100"
2123,"Blank Check",1994,PG,"11 Feb 1994","93 min",,,USA,N/A,N/A,5.0,"11,330",13,2.8,N/A,"Blank Check (film)",tt0109287,blank_check,"2014-05-11 19:37:12 2014 +0100","2014-05-15 01:02:39 +0100"
2124,Blankman,1994,PG-13,"19 Aug 1994","92 min",,,USA,N/A,N/A,4.7,"5,501",13,3.3,N/A,Blankman,tt0109288,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 01:02:42 +0100"
2125,"Blast from the Past",1999,PG-13,"12 Feb 1999","112 min",,,USA,"1 nomination.",48,6.5,"40,738",58,6.1,"Cute idea, but not consistently funny.","Blast From the Past (film)",tt0124298,blast_from_the_past,"2014-05-11 19:37:12 2014 +0100","2014-05-15 01:02:44 +0100"
2126,"Blast of Silence",1961,"Not Rated","01 Apr 1961","77 min",,,USA,N/A,N/A,7.7,"2,283",85,7.0,N/A,"Blast of Silence",tt0054687,1192728-blast_of_silence,"2014-05-11 19:37:12 2014 +0100","2014-05-15 01:02:46 +0100"
2127,Blaze,1989,R,"13 Dec 1989","120 min",,,USA,"Nominated for 1 Oscar. Another 1 win & 2 nominations.",N/A,5.9,"2,585",80,6.3,N/A,"Blaze (film)",tt0096943,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 01:02:50 +0100"
2128,"Blazing Saddles",1974,R,"07 Feb 1974","93 min",,,USA,"Nominated for 3 Oscars. Another 2 wins & 2 nominations.",N/A,7.8,"74,760",90,8.1,N/A,"Blazing Saddles",tt0071230,blazing_saddles,"2014-05-11 19:37:12 2014 +0100","2014-05-15 01:02:53 +0100"
2129,"Bleach the Movie: Hell Verse",2010,N/A,"01 Dec 2010","94 min",,,Japan,N/A,N/A,7.2,444,N/A,N/A,N/A,"Bleach: Hell Verse",tt1785394,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 01:02:57 +0100"
2130,"Bless Me, Ultima",2013,PG-13,"22 Feb 2013","106 min",,,USA,"3 wins.",65,6.4,675,71,6.1,N/A,"Bless Me, Ultima (film)",tt1390398,bless_me_ultima_2012,"2014-05-11 19:37:12 2014 +0100","2014-05-15 01:02:59 +0100"
2131,"Bless the Child",2000,R,"11 Aug 2000","107 min",,,"USA, Germany","1 win & 4 nominations.",17,5.0,"10,792",3,2.9,"Bless the Child squanders its talented cast on a plot that's more likely to inspire unintentional laughs than shivers.","Bless the Child",tt0163983,bless_the_child,"2014-05-11 19:37:12 2014 +0100","2014-05-15 01:03:01 +0100"
2132,"Blind Date",1987,PG-13,"27 Mar 1987","95 min",,,USA,N/A,N/A,5.8,"13,985",21,4.2,N/A,"Blind Date (1987 film)",tt0092666,1002571-blind_date,"2014-05-11 19:37:12 2014 +0100","2014-05-15 01:03:04 +0100"
